GENEID	RECURRENCE	FREQ	NUM_SAMPLES	PROJECTID
ENSG00000000005	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000000457	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000000460	3	0.030000	100	icgc_snp_sangerBreast
ENSG00000000938	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000001084	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000001497	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000001626	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000002587	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000002726	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000002746	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000002919	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000003096	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000003147	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000003400	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000003509	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000003989	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000004478	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000004487	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000004534	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000004660	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000004766	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000004846	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000004866	4	0.040000	100	icgc_snp_sangerBreast
ENSG00000004897	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000004975	3	0.030000	100	icgc_snp_sangerBreast
ENSG00000005059	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000005073	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000005108	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000005187	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000005339	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000005381	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000005421	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000005436	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000005469	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000005471	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000005483	4	0.040000	100	icgc_snp_sangerBreast
ENSG00000005810	4	0.040000	100	icgc_snp_sangerBreast
ENSG00000005812	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000005882	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000005893	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000005955	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000006062	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000006075	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000006114	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000006125	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000006194	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000006283	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000006432	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000006451	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000006453	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000006576	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000006652	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000006704	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000006712	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000006715	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000006740	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000007062	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000007174	3	0.030000	100	icgc_snp_sangerBreast
ENSG00000007202	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000007306	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000007314	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000007392	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000007545	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000007908	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000007923	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000008226	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000008282	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000008294	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000008300	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000008311	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000008405	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000008441	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000008517	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000008838	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000008869	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000008952	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000009307	3	0.030000	100	icgc_snp_sangerBreast
ENSG00000009413	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000009694	4	0.040000	100	icgc_snp_sangerBreast
ENSG00000009765	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000009790	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000009830	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000009954	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000010017	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000010165	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000010244	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000010282	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000010292	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000010295	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000010318	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000010322	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000010379	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000010404	3	0.030000	100	icgc_snp_sangerBreast
ENSG00000010626	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000010671	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000010803	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000010818	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000010932	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000011007	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000011021	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000011143	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000011258	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000011260	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000011295	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000011304	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000011426	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000011451	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000011454	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000011566	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000011590	1	0.010000	100	icgc_snp_sangerBreast
ENSG00000012048	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000012061	2	0.020000	100	icgc_snp_sangerBreast
ENSG00000012124	1	0.010000	100	icgc_snp_sangerBreast
