GENEID	PVALUE	QVALUE	PROJECTID
ENSG00000000457	\N	\N	icgc_snp_sangerBreast
ENSG00000000460	\N	\N	icgc_snp_sangerBreast
ENSG00000000938	\N	\N	icgc_snp_sangerBreast
ENSG00000001084	\N	\N	icgc_snp_sangerBreast
ENSG00000001497	\N	\N	icgc_snp_sangerBreast
ENSG00000001626	0.34071	0.857932409638554	icgc_snp_sangerBreast
ENSG00000002587	\N	\N	icgc_snp_sangerBreast
ENSG00000002726	\N	\N	icgc_snp_sangerBreast
ENSG00000002746	\N	\N	icgc_snp_sangerBreast
ENSG00000002919	\N	\N	icgc_snp_sangerBreast
ENSG00000003096	\N	\N	icgc_snp_sangerBreast
ENSG00000003147	\N	\N	icgc_snp_sangerBreast
ENSG00000003400	\N	\N	icgc_snp_sangerBreast
ENSG00000003989	\N	\N	icgc_snp_sangerBreast
ENSG00000004478	0.26289	0.736514879356568	icgc_snp_sangerBreast
ENSG00000004487	\N	\N	icgc_snp_sangerBreast
ENSG00000004534	\N	\N	icgc_snp_sangerBreast
ENSG00000004660	\N	\N	icgc_snp_sangerBreast
ENSG00000004766	\N	\N	icgc_snp_sangerBreast
ENSG00000004846	0.97612	1	icgc_snp_sangerBreast
ENSG00000004866	0.030022	0.178255625	icgc_snp_sangerBreast
ENSG00000004897	\N	\N	icgc_snp_sangerBreast
ENSG00000004975	\N	\N	icgc_snp_sangerBreast
ENSG00000005059	\N	\N	icgc_snp_sangerBreast
ENSG00000005073	\N	\N	icgc_snp_sangerBreast
ENSG00000005108	0.064317	0.29478625	icgc_snp_sangerBreast
ENSG00000005339	\N	\N	icgc_snp_sangerBreast
ENSG00000005381	0.70073	1	icgc_snp_sangerBreast
ENSG00000005436	\N	\N	icgc_snp_sangerBreast
ENSG00000005469	\N	\N	icgc_snp_sangerBreast
ENSG00000005471	0.91696	1	icgc_snp_sangerBreast
ENSG00000005483	0.012838	0.0972152898550725	icgc_snp_sangerBreast
ENSG00000005810	0.93782	1	icgc_snp_sangerBreast
ENSG00000005812	\N	\N	icgc_snp_sangerBreast
ENSG00000005893	\N	\N	icgc_snp_sangerBreast
ENSG00000005955	\N	\N	icgc_snp_sangerBreast
ENSG00000006062	\N	\N	icgc_snp_sangerBreast
ENSG00000006075	\N	\N	icgc_snp_sangerBreast
ENSG00000006114	\N	\N	icgc_snp_sangerBreast
ENSG00000006125	\N	\N	icgc_snp_sangerBreast
ENSG00000006283	\N	\N	icgc_snp_sangerBreast
ENSG00000006432	\N	\N	icgc_snp_sangerBreast
ENSG00000006451	\N	\N	icgc_snp_sangerBreast
ENSG00000006453	\N	\N	icgc_snp_sangerBreast
ENSG00000006576	0.98948	1	icgc_snp_sangerBreast
ENSG00000006652	\N	\N	icgc_snp_sangerBreast
ENSG00000006712	\N	\N	icgc_snp_sangerBreast
ENSG00000006715	\N	\N	icgc_snp_sangerBreast
ENSG00000006740	0.034140	0.196023626373626	icgc_snp_sangerBreast
ENSG00000007062	\N	\N	icgc_snp_sangerBreast
ENSG00000007174	0.10968	0.43415	icgc_snp_sangerBreast
ENSG00000007202	0.86845	1	icgc_snp_sangerBreast
ENSG00000007306	\N	\N	icgc_snp_sangerBreast
ENSG00000007314	\N	\N	icgc_snp_sangerBreast
ENSG00000007392	\N	\N	icgc_snp_sangerBreast
ENSG00000007545	\N	\N	icgc_snp_sangerBreast
ENSG00000007908	\N	\N	icgc_snp_sangerBreast
ENSG00000007923	\N	\N	icgc_snp_sangerBreast
ENSG00000008226	0.13648	0.495213888888889	icgc_snp_sangerBreast
ENSG00000008282	\N	\N	icgc_snp_sangerBreast
ENSG00000008294	\N	\N	icgc_snp_sangerBreast
ENSG00000008300	0.11981	0.45861336996337	icgc_snp_sangerBreast
ENSG00000008311	\N	\N	icgc_snp_sangerBreast
ENSG00000008405	0.98575	1	icgc_snp_sangerBreast
ENSG00000008441	\N	\N	icgc_snp_sangerBreast
ENSG00000008517	\N	\N	icgc_snp_sangerBreast
ENSG00000008838	\N	\N	icgc_snp_sangerBreast
ENSG00000008869	\N	\N	icgc_snp_sangerBreast
ENSG00000008952	\N	\N	icgc_snp_sangerBreast
ENSG00000009307	0.00086151	0.0101154825842697	icgc_snp_sangerBreast
ENSG00000009413	\N	\N	icgc_snp_sangerBreast
ENSG00000009694	0.15789	0.533964563106796	icgc_snp_sangerBreast
ENSG00000009765	\N	\N	icgc_snp_sangerBreast
ENSG00000009790	\N	\N	icgc_snp_sangerBreast
ENSG00000009954	0.98334	1	icgc_snp_sangerBreast
ENSG00000010165	\N	\N	icgc_snp_sangerBreast
ENSG00000010244	\N	\N	icgc_snp_sangerBreast
ENSG00000010282	\N	\N	icgc_snp_sangerBreast
ENSG00000010292	0.61725	1	icgc_snp_sangerBreast
ENSG00000010322	\N	\N	icgc_snp_sangerBreast
ENSG00000010379	\N	\N	icgc_snp_sangerBreast
ENSG00000010404	0.99712	1	icgc_snp_sangerBreast
ENSG00000010626	\N	\N	icgc_snp_sangerBreast
ENSG00000010671	\N	\N	icgc_snp_sangerBreast
ENSG00000010803	0.67812	1	icgc_snp_sangerBreast
ENSG00000010818	0.54961	1	icgc_snp_sangerBreast
ENSG00000010932	0.0079633	0.0671100685483871	icgc_snp_sangerBreast
ENSG00000011007	\N	\N	icgc_snp_sangerBreast
ENSG00000011143	\N	\N	icgc_snp_sangerBreast
ENSG00000011260	0.80014	1	icgc_snp_sangerBreast
ENSG00000011304	\N	\N	icgc_snp_sangerBreast
ENSG00000011426	\N	\N	icgc_snp_sangerBreast
ENSG00000011451	\N	\N	icgc_snp_sangerBreast
ENSG00000011454	0.050107	0.242415810185185	icgc_snp_sangerBreast
ENSG00000011566	\N	\N	icgc_snp_sangerBreast
ENSG00000012048	\N	\N	icgc_snp_sangerBreast
ENSG00000012124	\N	\N	icgc_snp_sangerBreast
