GENEID	TOPOID	FOUND	STUDIED
ENSG00000134755	31	1	1
ENSG00000134765	31	3	3
ENSG00000134760	5	2	446
ENSG00000134760	31	2	2
ENSG00000175065	5	5	106
ENSG00000175065	31	3	3
ENSG00000187323	5	1	22
ENSG00000187323	9	1	14
ENSG00000187323	31	6	6
ENSG00000187323	123	1	1
ENSG00000229006	31	1	1
ENSG00000225412	5	1	22
ENSG00000174032	78	1	32
ENSG00000134757	5	1	22
ENSG00000134757	31	3	3
ENSG00000134757	65	1	1
ENSG00000046604	5	5	447
ENSG00000046604	31	2	2
ENSG00000046604	78	1	32
ENSG00000136152	78	1	48
ENSG00000227639	31	2	2
ENSG00000234195	31	1	1
ENSG00000165837	5	1	22
ENSG00000227137	31	3	3
ENSG00000227137	75	1	1
ENSG00000174015	5	1	22
ENSG00000174015	135	1	23
ENSG00000250364	31	2	2
ENSG00000250364	78	1	48
ENSG00000225247	31	1	1
ENSG00000215475	31	1	1
ENSG00000226260	31	1	1
ENSG00000123200	31	1	1
ENSG00000123200	65	1	1
ENSG00000223898	31	1	1
ENSG00000234495	31	1	1
ENSG00000237284	31	5	5
ENSG00000236561	31	1	1
ENSG00000227144	31	3	3
ENSG00000101751	31	2	2
ENSG00000101751	75	1	101
ENSG00000226463	31	2	2
ENSG00000080618	31	1	1
ENSG00000080618	123	1	1
ENSG00000242726	31	1	1
ENSG00000118271	31	1	1
ENSG00000136167	31	2	2
ENSG00000236927	31	1	1
ENSG00000232289	31	1	1
ENSG00000236227	5	3	53
ENSG00000236227	127	2	60
ENSG00000234507	5	3	53
ENSG00000234507	127	2	60
ENSG00000234669	31	3	3
ENSG00000173988	31	1	1
ENSG00000198033	31	3	3
ENSG00000226589	31	1	1
ENSG00000234954	31	5	5
ENSG00000232569	2	1	1
ENSG00000232569	31	5	5
ENSG00000166157	31	2	2
ENSG00000166157	65	1	188
ENSG00000166157	78	1	48
ENSG00000166157	123	1	1
ENSG00000136141	5	1	22
ENSG00000136141	31	1	1
ENSG00000233095	5	1	446
ENSG00000233095	31	3	3
ENSG00000206493	5	4	447
ENSG00000206493	31	1	1
ENSG00000174448	31	1	1
ENSG00000139684	31	1	1
ENSG00000166845	31	1	1
ENSG00000153339	31	6	6
ENSG00000153339	78	1	48
ENSG00000102468	5	1	446
ENSG00000102468	31	3	3
ENSG00000223980	31	1	1
ENSG00000136143	5	1	23
ENSG00000121390	78	1	32
ENSG00000206492	31	3	3
ENSG00000234096	31	1	1
ENSG00000136146	31	1	1
ENSG00000121741	31	2	2
ENSG00000230678	5	3	53
ENSG00000230678	127	2	60
ENSG00000136149	135	2	114
ENSG00000141434	31	2	2
ENSG00000227858	31	3	3
ENSG00000229215	31	1	1
ENSG00000139687	2	3	32
ENSG00000139687	5	47	774
ENSG00000139687	20	7	95
ENSG00000139687	31	10	48
ENSG00000139687	32	1	9
ENSG00000139687	35	1	29
ENSG00000139687	51	14	389
ENSG00000139687	59	89	175
ENSG00000139687	60	1	16
ENSG00000139687	65	93	735
ENSG00000139687	75	1	43
ENSG00000139687	78	20	222
ENSG00000139687	100	5	17
ENSG00000139687	103	12	40
ENSG00000139687	115	17	53
ENSG00000139687	122	1	2
ENSG00000139687	123	7	73
ENSG00000139687	125	8	75
ENSG00000139687	127	2	21
ENSG00000139687	132	3	70
ENSG00000139687	146	10	93
ENSG00000237829	31	1	1
ENSG00000166351	31	3	3
ENSG00000139679	31	4	4
ENSG00000236251	31	3	3
ENSG00000236251	75	1	101
ENSG00000236251	147	1	1
ENSG00000224168	65	1	11
ENSG00000136161	31	2	2
ENSG00000136161	65	2	200
ENSG00000237724	31	1	1
ENSG00000233314	31	1	1
ENSG00000121743	135	1	23
ENSG00000188992	31	2	2
ENSG00000205929	31	1	1
ENSG00000233931	31	1	1
ENSG00000205927	5	3	449
ENSG00000121742	31	1	1
ENSG00000196628	31	1	1
ENSG00000184221	5	1	424
ENSG00000141441	31	1	1
ENSG00000224542	65	1	11
ENSG00000224501	78	1	32
ENSG00000152207	65	2	188
ENSG00000224496	31	1	1
ENSG00000234046	31	2	2
ENSG00000234046	65	1	11
ENSG00000197705	31	1	1
ENSG00000102531	65	2	188
ENSG00000032742	31	1	1
ENSG00000229929	31	3	3
ENSG00000228881	31	2	2
ENSG00000228881	65	1	11
ENSG00000230308	31	3	3
ENSG00000136169	5	1	22
ENSG00000136169	31	1	1
ENSG00000132953	9	1	6
ENSG00000132953	31	1	1
ENSG00000132953	75	1	101
ENSG00000166960	31	1	1
ENSG00000230708	31	1	1
ENSG00000150457	5	3	455
ENSG00000150457	31	2	27
ENSG00000150457	65	3	225
ENSG00000150457	135	1	24
ENSG00000227315	31	1	1
ENSG00000239927	31	1	1
ENSG00000091157	31	2	2
ENSG00000230254	5	4	447
ENSG00000230254	31	1	1
ENSG00000229496	31	2	2
ENSG00000231479	5	1	23
ENSG00000231479	9	2	15
ENSG00000231479	31	1	1
ENSG00000226882	31	3	3
ENSG00000180776	31	1	1
ENSG00000241779	31	1	1
ENSG00000206412	31	3	3
ENSG00000141431	31	2	2
ENSG00000141431	135	1	23
ENSG00000206490	31	2	2
ENSG00000227222	31	2	2
ENSG00000227222	75	2	101
ENSG00000101746	31	3	3
ENSG00000170677	9	1	3
ENSG00000236759	31	1	1
ENSG00000151835	9	1	14
ENSG00000151835	31	7	7
ENSG00000151835	32	1	3
ENSG00000151835	123	1	6
ENSG00000151835	135	1	24
ENSG00000177511	78	1	32
ENSG00000155304	75	1	101
ENSG00000225989	31	2	2
ENSG00000127863	75	1	101
ENSG00000166342	31	2	2
ENSG00000234012	31	1	1
ENSG00000234012	75	1	101
ENSG00000234012	78	2	41
ENSG00000155307	31	3	3
ENSG00000155307	135	1	23
ENSG00000204977	31	2	2
ENSG00000142166	5	1	22
ENSG00000027001	5	1	22
ENSG00000119547	5	1	446
ENSG00000119547	31	2	2
ENSG00000238104	31	2	2
ENSG00000238104	65	1	11
ENSG00000238104	75	1	101
ENSG00000141665	31	2	2
ENSG00000141665	135	1	24
ENSG00000223775	31	1	1
ENSG00000066926	5	1	22
ENSG00000234549	31	2	2
ENSG00000224156	31	1	1
ENSG00000182957	31	1	1
ENSG00000182957	123	2	7
ENSG00000206489	31	2	2
ENSG00000206489	65	1	11
ENSG00000206489	75	1	101
ENSG00000237710	31	1	1
ENSG00000101574	75	1	102
ENSG00000101574	123	1	6
ENSG00000235017	31	1	1
ENSG00000080986	31	1	1
ENSG00000226171	31	2	2
ENSG00000226171	75	2	101
ENSG00000142188	31	1	1
ENSG00000142188	123	1	1
ENSG00000230624	31	2	2
ENSG00000102699	31	3	3
ENSG00000150510	5	1	22
ENSG00000231135	31	1	1
ENSG00000231135	75	1	101
ENSG00000231135	78	2	41
ENSG00000230763	31	1	1
ENSG00000075673	5	2	22
ENSG00000075673	9	1	4
ENSG00000075673	31	2	2
ENSG00000075673	78	1	32
ENSG00000229767	5	3	455
ENSG00000229767	9	1	32
ENSG00000229767	31	1	27
ENSG00000229767	65	4	225
ENSG00000132972	31	1	1
ENSG00000253309	31	2	2
ENSG00000230930	31	3	3
ENSG00000230930	123	1	1
ENSG00000133313	31	2	2
ENSG00000203624	31	1	1
ENSG00000232421	31	1	1
ENSG00000102786	31	1	1
ENSG00000102786	65	1	11
ENSG00000159131	31	1	1
ENSG00000198445	31	1	1
ENSG00000151849	31	2	2
ENSG00000172967	9	1	3
ENSG00000172967	31	1	1
ENSG00000215568	9	1	5
ENSG00000215568	31	1	1
ENSG00000227801	31	3	3
ENSG00000227801	123	1	1
ENSG00000231350	31	1	1
ENSG00000235708	31	3	3
ENSG00000235708	123	1	1
ENSG00000151846	31	3	3
ENSG00000151846	123	1	1
ENSG00000165566	9	1	14
ENSG00000165566	31	2	2
ENSG00000165566	65	1	1
ENSG00000237889	31	2	2
ENSG00000139505	31	2	2
ENSG00000123191	5	1	22
ENSG00000123191	31	1	1
ENSG00000093072	31	1	1
ENSG00000215421	31	2	2
ENSG00000206488	31	2	2
ENSG00000228978	31	1	1
ENSG00000228978	123	1	6
ENSG00000228978	135	1	24
ENSG00000099954	31	1	1
ENSG00000099954	123	1	1
ENSG00000159140	31	3	4
ENSG00000155313	2	2	2
ENSG00000155313	31	3	3
ENSG00000237582	123	1	6
ENSG00000131100	5	1	446
ENSG00000131100	9	1	2
ENSG00000132932	9	1	12
ENSG00000132932	31	2	2
ENSG00000180730	5	1	22
ENSG00000180730	31	1	1
ENSG00000127870	31	1	1
ENSG00000236315	31	1	1
ENSG00000081923	5	2	22
ENSG00000081923	31	2	2
ENSG00000081923	78	4	48
ENSG00000137332	5	3	455
ENSG00000137332	9	1	32
ENSG00000137332	31	1	27
ENSG00000137332	65	4	225
ENSG00000154639	31	1	1
ENSG00000099968	5	1	447
ENSG00000099968	31	1	1
ENSG00000099968	65	1	12
ENSG00000099968	123	1	6
ENSG00000253710	31	2	2
ENSG00000166974	31	1	1
ENSG00000233345	31	2	2
ENSG00000233345	78	1	20
ENSG00000132964	9	1	32
ENSG00000132964	31	1	27
ENSG00000132964	65	2	276
ENSG00000101493	31	1	1
ENSG00000132970	135	1	23
ENSG00000253797	9	1	5
ENSG00000253797	31	3	3
ENSG00000253797	78	1	32
ENSG00000238203	31	3	3
ENSG00000130856	31	4	4
ENSG00000136098	31	1	27
ENSG00000233948	31	1	1
ENSG00000231116	31	1	1
ENSG00000136114	31	2	2
ENSG00000228977	31	2	2
ENSG00000136108	31	1	1
ENSG00000112459	31	1	1
ENSG00000112461	31	3	3
ENSG00000112461	75	1	1
ENSG00000226704	31	3	3
ENSG00000226704	75	1	101
ENSG00000226704	147	1	1
ENSG00000235941	31	1	1
ENSG00000204692	31	2	2
ENSG00000204692	78	1	48
ENSG00000204690	31	1	1
ENSG00000228333	31	3	3
ENSG00000232804	78	1	32
ENSG00000159147	5	1	22
ENSG00000159147	31	1	1
ENSG00000122033	31	1	1
ENSG00000225859	31	2	2
ENSG00000136110	31	1	1
ENSG00000139517	5	1	23
ENSG00000139517	31	2	2
ENSG00000139517	32	1	3
ENSG00000139517	65	1	11
ENSG00000139517	75	1	101
ENSG00000228691	31	1	1
ENSG00000136099	78	1	48
ENSG00000099953	14	1	9
ENSG00000132205	31	1	1
ENSG00000169840	31	1	1
ENSG00000235336	5	1	23
ENSG00000235336	9	2	15
ENSG00000235336	31	1	1
ENSG00000101577	31	1	1
ENSG00000101577	123	1	6
ENSG00000180389	31	1	1
ENSG00000165556	65	1	11
ENSG00000101605	5	1	22
ENSG00000101605	31	3	3
ENSG00000101605	135	1	23
ENSG00000122025	5	1	527
ENSG00000122025	31	2	72
ENSG00000122025	51	8072	37136
ENSG00000122025	65	1	377
ENSG00000152520	31	1	1
ENSG00000099956	5	117	637
ENSG00000099956	20	172	340
ENSG00000099956	31	2	4
ENSG00000099956	35	3	5
ENSG00000099956	51	24	279
ENSG00000099956	59	2	2
ENSG00000099956	71	2	56
ENSG00000099956	97	5	214
ENSG00000099956	100	1	1
ENSG00000099956	115	3	5
ENSG00000099956	123	1	9
ENSG00000099956	135	1	24
ENSG00000099956	146	4	8
ENSG00000099956	147	5	6
ENSG00000099956	155	52	84
ENSG00000102755	5	5	455
ENSG00000102755	31	2	28
ENSG00000102755	65	6	225
ENSG00000102755	78	1	36
ENSG00000102755	115	1	2
ENSG00000139508	5	1	22
ENSG00000229802	9	1	12
ENSG00000118946	31	2	2
ENSG00000118946	135	2	24
ENSG00000232045	31	1	1
ENSG00000099958	31	1	1
ENSG00000235712	31	3	3
ENSG00000215425	31	2	2
ENSG00000183628	5	1	22
ENSG00000139734	31	2	2
ENSG00000100033	78	1	57
ENSG00000133460	31	1	1
ENSG00000238056	78	1	48
ENSG00000225737	5	1	23
ENSG00000225737	9	1	4
ENSG00000225737	31	1	1
ENSG00000225737	78	1	57
ENSG00000070413	9	1	3
ENSG00000225312	5	1	22
ENSG00000225312	78	1	48
ENSG00000100056	31	1	1
ENSG00000224399	9	1	12
ENSG00000235307	5	3	53
ENSG00000235307	127	2	60
ENSG00000228520	31	1	1
ENSG00000228520	123	1	6
ENSG00000237462	31	1	1
ENSG00000088826	78	1	48
ENSG00000189403	31	1	1
ENSG00000100084	31	1	1
ENSG00000228425	31	4	4
ENSG00000205726	31	3	3
ENSG00000132952	135	1	23
ENSG00000206472	31	1	1
ENSG00000171867	5	1	446
ENSG00000232357	5	1	22
ENSG00000232357	78	1	48
ENSG00000197991	5	1	446
ENSG00000197991	31	4	4
ENSG00000197991	78	1	48
ENSG00000231115	31	1	1
ENSG00000231115	123	1	6
ENSG00000206470	31	5	5
ENSG00000175664	31	2	2
ENSG00000206466	2	1	1
ENSG00000206466	31	5	5
ENSG00000184226	31	4	4
ENSG00000184226	135	1	23
ENSG00000228652	31	2	2
ENSG00000093009	65	1	12
ENSG00000224455	31	4	4
ENSG00000165659	78	1	32
ENSG00000206486	31	2	2
ENSG00000206486	75	2	101
ENSG00000224487	31	2	2
ENSG00000224487	78	1	48
ENSG00000154642	31	1	1
ENSG00000232641	31	1	1
ENSG00000234947	123	4	9
ENSG00000227322	31	3	3
ENSG00000141429	31	2	2
ENSG00000234100	31	1	1
ENSG00000223858	31	3	3
ENSG00000083535	31	1	1
ENSG00000083535	78	1	32
ENSG00000187676	31	1	1
ENSG00000184674	31	1	1
ENSG00000235155	31	1	1
ENSG00000235155	78	1	32
ENSG00000243441	31	3	3
ENSG00000243441	75	1	1
ENSG00000102554	14	1	9
ENSG00000102554	31	1	1
ENSG00000102554	135	1	23
ENSG00000233481	31	1	1
ENSG00000184058	31	1	1
ENSG00000184058	78	1	48
ENSG00000073910	9	1	12
ENSG00000073910	31	5	6
ENSG00000118922	31	1	1
ENSG00000177426	31	1	1
ENSG00000099991	5	1	22
ENSG00000099991	31	2	2
ENSG00000099991	135	1	23
ENSG00000185838	78	1	57
ENSG00000229328	31	2	2
ENSG00000237777	31	1	1
ENSG00000136111	5	1	22
ENSG00000136111	31	4	4
ENSG00000242022	31	2	2
ENSG00000242022	78	1	48
ENSG00000227446	31	1	1
ENSG00000234347	31	1	1
ENSG00000151514	5	1	22
ENSG00000151514	9	1	14
ENSG00000151514	31	1	1
ENSG00000141425	31	1	1
ENSG00000141425	78	1	48
ENSG00000184470	31	2	2
ENSG00000237216	5	1	446
ENSG00000237216	31	3	3
ENSG00000166377	31	3	3
ENSG00000099998	31	2	2
ENSG00000226614	9	1	12
ENSG00000139618	2	1	70
ENSG00000139618	5	3	511
ENSG00000139618	9	4	35
ENSG00000139618	31	19	415
ENSG00000139618	60	5	74
ENSG00000139618	65	3	372
ENSG00000139618	75	1	126
ENSG00000139618	78	8	473
ENSG00000139618	100	8	65
ENSG00000139618	123	1	62
ENSG00000139618	132	1	13
ENSG00000139618	135	3	79
ENSG00000154646	31	5	5
ENSG00000154646	78	1	48
ENSG00000236802	31	1	1
ENSG00000236802	78	1	32
ENSG00000139597	31	1	1
ENSG00000234704	5	3	53
ENSG00000234704	127	2	60
ENSG00000141424	31	1	1
ENSG00000141424	135	1	23
ENSG00000093010	31	1	1
