GENEID	CHROMOSOME	START	END	STRAND	BAND	SYMBOL	ENTREZID	REFSEQID
ENSG00000163464	2	219027568	219031725	-1	q35	CXCR1	3577	NM_000634
ENSG00000164796	8	113235157	114449328	-1	q23.3	CSMD3	114788	NM_198123,NM_198124,NM_052900
ENSG00000163466	2	219081817	219119079	1	q35	ARPC2	10109	NM_005731,NM_152862
ENSG00000080603	16	30709530	30762702	1	p11.2	SRCAP	10847	NM_006662
ENSG00000164794	8	110975874	110988076	-1	q23.2	KCNV1	27012	NM_014379
ENSG00000137193	6	37137979	37143202	1	p21.2	PIM1	5292	NM_002648
ENSG00000080608	9	2720469	2844241	-1	p24.2	KIAA0020	9933	NM_014878
ENSG00000137197	HSCHR6_MHC_COX	31075367	31080724	-1	null	null	null	null
ENSG00000137198	6	16238811	16295780	1	p22.3	GMPR	2766	NM_006877
ENSG00000149177	11	48002110	48192393	1	p11.2	PTPRJ	5795	NM_001098503,NM_002843
ENSG00000149179	11	46958240	47185936	1	p11.2	C11orf49	79096	NM_024113,NM_001003676,NM_001003677,NM_001003678
ENSG00000151490	12	15475331	15750333	1	p12.3	PTPRO	5800	NM_030670,NM_030667,NM_002848,NM_030671,NM_030669,NM_030668
ENSG00000151491	12	15773092	16035263	-1	p12.3	EPS8	2059	NM_004447
ENSG00000188760	2	220408385	220415317	1	q35	TMEM198	130612	NM_001005209
ENSG00000068971	11	64685025	64701947	1	q13.1	PPP2R5B	5526	NM_006244
ENSG00000176783	5	178977559	179037027	1	q35.3	RUFY1	80230	NM_025158,NM_001040451,NM_001040452
ENSG00000188763	7	72848109	72850450	1	q11.23	FZD9	8326	NM_003508
ENSG00000188761	1	114420790	114430169	-1	p13.2	BCL2L15	440603	NM_001010922
ENSG00000186103	3	121289551	121305481	1	q13.33	ARGFX	503582	NM_001012659
ENSG00000151498	11	134123389	134135749	1	q25	ACAD8	27034	NM_014384
ENSG00000067646	Y	2803112	2850547	1	p11.31	ZFY	7544	NM_001145276,NM_003411,NM_001145275
ENSG00000162148	11	61248592	61258403	1	q12.2	C11orf66	220004	NM_001170753,NM_145017
ENSG00000163479	1	155978839	155990750	-1	q22	SSR2	6746	NM_003145
ENSG00000176788	5	17217669	17276943	1	p15.1	BASP1	10409	NM_006317
ENSG00000175455	3	123616152	123680564	-1	q21.1	CCDC14	64770	NM_022757
ENSG00000188766	19	38880840	38886868	1	q13.2	SPRED3	399473	NM_001042522,NM_001039616
ENSG00000056998	X	2746829	2800859	1	p22.33	GYG2	8908	NM_001184703,NM_001184702,NM_003918,NM_001079855
ENSG00000174123	4	38773860	38784611	-1	p14	TLR10	81793	NM_001195108,NM_001195106,NM_001195107,NM_030956,NM_001017388
ENSG00000068976	11	64513861	64527769	-1	q13.1	PYGM	5837	NM_005609,NM_001164716
ENSG00000186105	5	61874562	61877275	1	q12.1	LRRC70	100130733	NM_181506
ENSG00000186106	8	101521980	101572012	-1	q22.2	ANKRD46	157567	NM_198401
ENSG00000150165	10	47157983	47174093	-1	q11.22	ANXA8L1	728113	NM_001098845
ENSG00000149182	11	47185848	47198676	-1	p11.2	ARFGAP2	84364	NM_032389
ENSG00000163472	1	156252726	156262976	1	q22	TMEM79	84283	NM_032323,NR_026678
ENSG00000080618	13	46627321	46679161	-1	q14.13	CPB2	1361	NM_016413,NM_001872
ENSG00000162144	11	61116226	61129771	-1	q12.2	CYBASC3	220002	NM_001161454,NM_001161452,NM_153611
ENSG00000149187	11	47487496	47587121	-1	p11.2	CELF1	10658	NM_001025596,NM_006560,NM_001172639,NM_001172640,NM_198700
ENSG00000174125	4	38792298	38858438	-1	p14	TLR1	7096	NM_003263
ENSG00000176782	8	7693993	7698764	1	p23.1	DEFB104A	503618,140596	NM_080389
ENSG00000188770	1	203463271	203477992	1	q32.1	OPTC	26254	NM_014359
ENSG00000174130	4	38825336	38858438	-1	p14	TLR6	10333	NM_006068
ENSG00000188771	11	112118876	112131583	-1	q23.1	C11orf34	349633	NM_001145024
ENSG00000175463	11	67171386	67177560	1	q13.2	TBC1D10C	374403	NM_198517
ENSG00000163485	1	203059782	203136533	1	q32.1	ADORA1	134	NM_000674,NM_001048230
ENSG00000163486	1	206516198	206637783	1	q32.1	SRGAP2	23380	NM_001170637,NM_015326,NM_001042758
ENSG00000186111	19	3630182	3700463	-1	p13.3	PIP5K1C	23396	NM_012398,NM_001195733
ENSG00000175467	11	65729160	65747299	1	q13.1	SART1	9092	NM_005146
ENSG00000187446	15	41523342	41574088	1	q15.1	null	11261	NM_007236
ENSG00000188779	15	68112042	68126174	1	q23	SKOR1	390598	NM_001031807
ENSG00000186115	19	15988834	16008884	-1	p13.12	CYP4F2	4051,8529	NM_001082,NM_001199208,NM_001199209
ENSG00000188778	8	37820516	37824483	-1	p11.23	ADRB3	155	NM_000025
ENSG00000176797	8	7738726	7740186	1	p23.1	DEFB103A	55894,414325	NM_001081551
ENSG00000078304	14	102228135	102394326	1	q32.31	PPP2R5C	5527	NM_001161726,NM_178586,NM_178587,NM_002719,NM_001161725
ENSG00000174137	4	1619642	1686029	-1	p16.3	FAM53A	152877	NM_001174070,NM_001013622
ENSG00000186117	11	55578854	55579952	1	q11	OR5L1	219437	NM_001004738
ENSG00000163482	2	219536749	219567439	1	q35	STK36	27148	NM_015690
ENSG00000186119	11	55587086	55588073	1	q11	OR5D18	219438	NM_001001952
ENSG00000174132	5	99871009	99922445	1	q21.1	FAM174A	345757	NM_198507
ENSG00000066322	1	43829068	43833697	-1	p34.2	ELOVL1	64834	NM_022821
ENSG00000186113	11	55563032	55563976	1	q11	OR5D14	219436	NM_001004735
ENSG00000092607	1	119425666	119532179	-1	p12	TBX15	6913	NM_152380
ENSG00000174136	5	98104354	98134347	1	q15	RGMB	285704	NM_001012761
ENSG00000149196	11	86013253	86056969	1	q14.2	C11orf73	51501	NM_016401
ENSG00000016082	5	50678958	50690555	1	q11.1	ISL1	3670	NM_002202
ENSG00000176798	11	5020213	5021160	1	p15.4	OR51L1	119682	NM_001004755
ENSG00000186104	11	14899553	14913798	-1	p15.2	CYP2R1	120227	NM_024514
ENSG00000175470	10	133747955	133773331	1	q26.3	PPP2R2D	55844	NM_018461
ENSG00000175471	5	94039446	94620279	-1	q15	MCTP1	79772	NM_024717,NM_001002796
ENSG00000188782	1	26517052	26529459	1	p36.11	CATSPER4	378807	NM_198137
ENSG00000188783	1	203444956	203460480	1	q32.1	PRELP	5549	NM_002725,NM_201348
ENSG00000065000	19	2100993	2151556	-1	p13.3	AP3D1	8943	NM_003938,NM_001077523
ENSG00000188785	19	57901218	57913917	1	q13.43	ZNF548	147694	NM_001172773,NM_152909
ENSG00000174145	4	37245842	37451087	1	p14	KIAA1239	57495	NM_001144990
ENSG00000198104	1	248550910	248551836	1	q44	OR2T6	254879	NM_001005471
ENSG00000066336	11	47376411	47400127	-1	p11.2	SPI1	6688	NM_001080547,NM_003120
ENSG00000198106	16	29262829	29519817	1	p11.2	RUNDC2C	null	null
ENSG00000187456	17	34245070	34257780	-1	q12	RDM1	201299	NM_001163130,NM_001163120,NM_145654,NM_001163122,NR_028000,NM_001163124,NM_001163125,NM_001163121,NM_001034836,NR_027997
ENSG00000198108	5	129240165	129522327	1	q23.3	CHSY3	337876	NM_175856
ENSG00000188786	1	38279851	38325292	-1	p34.3	MTF1	4520	NM_005955
ENSG00000054356	2	220154345	220174370	-1	q35	PTPRN	5798	NM_002846,NM_001199763,NM_001199764
ENSG00000198105	10	38091751	38147034	-1	p11.1	ZNF248	57209	NM_021045
ENSG00000163491	3	27151576	27410951	-1	p24.1	NEK10	152110	NM_199347
